Id,SalePrice
1461,127446.89
1462,125113.02
1463,169414.88
1464,183782.9
1465,160455.08
1466,168231.34
1467,151169.5
1468,157233.08
1469,157300.72
1470,127884.72
1471,158577.84
1472,128409.6
1473,124397.98
1474,123606.25
1475,119725.39
1476,457007.22
1477,289638.1
1478,281569.28
1479,331542.28
1480,721351.7
1481,356443.1
1482,207200.2
1483,157800.0
1484,169259.19
1485,149040.16
1486,180402.78
1487,332393.6
1488,203284.27
1489,198885.23
1490,270081.28
1491,181191.77
1492,115107.71
1493,221830.42
1494,277317.66
1495,262054.78
1496,224527.72
1497,154108.27
1498,171064.69
1499,146325.52
1500,145514.92
1501,153558.27
1502,138198.56
1503,304354.06
1504,235007.0
1505,229186.81
1506,196479.12
1507,223645.75
1508,222127.64
1509,143511.75
1510,151864.25
1511,155872.08
1512,172604.28
1513,151256.31
1514,136417.95
1515,184449.44
1516,173751.44
1517,174173.48
1518,143837.86
1519,219306.45
1520,164238.38
1521,147518.19
1522,183917.75
1523,118561.66
1524,121963.055
1525,134108.06
1526,143018.66
1527,103046.76
1528,139567.0
1529,154988.92
1530,218972.72
1531,172223.14
1532,79515.15
1533,188402.8
1534,115827.12
1535,169474.19
1536,117377.34
1537,33611.633
1538,91981.28
1539,151848.45
1540,77080.195
1541,164646.77
1542,156621.44
1543,135816.67
1544,79293.8
1545,123252.766
1546,142964.66
1547,144883.2
1548,149565.7
1549,128388.664
1550,150799.44
1551,86430.336
1552,142642.03
1553,83374.164
1554,124253.09
1555,182931.84
1556,62510.98
1557,84932.11
1558,126798.54
1559,84065.914
1560,108455.914
1561,102086.04
1562,155355.48
1563,129379.09
1564,153697.17
1565,155775.78
1566,207208.69
1567,86368.13
1568,239136.19
1569,77385.2
1570,155535.16
1571,108545.42
1572,152133.44
1573,214027.14
1574,116672.0
1575,301742.3
1576,229801.81
1577,188653.78
1578,145584.6
1579,165839.7
1580,179382.52
1581,147787.7
1582,133001.25
1583,290229.8
1584,191485.81
1585,132151.62
1586,75950.695
1587,107608.11
1588,178231.66
1589,99871.484
1590,129665.55
1591,112219.18
1592,120962.125
1593,139718.56
1594,131815.16
1595,83658.74
1596,218726.84
1597,197290.45
1598,179621.66
1599,163685.78
1600,156537.06
1601,60928.082
1602,172854.17
1603,83382.99
1604,288036.6
1605,228036.1
1606,162523.06
1607,139323.78
1608,203939.61
